group,feature,rank
3,gfs_lcc,57
3,gfs_t_dew_diff,58
3,gfs_u_diff_1h,59
3,gfs_wd_pbl_sin,60
3,lead_hour,61
3,ldaps_u_diff_1h,62
3,v10,63
3,mcc,64
3,gfs_prate,65
3,vlcdc,66
3,gfs_wd_850_cos,67
3,gfs_wd_rotation,68
3,gfs_wd_pbl,69
3,gfs_vrate,70
3,nd_sw,71
3,gfs_ws_diff_1h,72
3,gfs_mcc,73
3,month_ldaps,74
3,target_hour_ldaps,75
3,v50_range,76
3,gfs_gust_factor,77
3,ldaps_ws_ramp_rate,78
3,wd10,79
3,gfs_ws_ramp_rate,80
3,hcc,81
3,ls_prate,82
